,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,names,artists
716,0.564,0.827,7,-7.089,1,0.0283,0.0904,3.73E-06,0.127,0.912,89.847,audio_features,5hhF25sWnZvXhimOHLjTRE,spotify:track:5hhF25sWnZvXhimOHLjTRE,https://api.spotify.com/v1/tracks/5hhF25sWnZvXhimOHLjTRE,https://api.spotify.com/v1/audio-analysis/5hhF25sWnZvXhimOHLjTRE,139347,4,I Feel Fine - Remastered 2015,['The Beatles']
717,0.766,0.682,1,-5.02,1,0.0419,0.0113,0.00016,0.104,0.833,127.966,audio_features,2u02eLj96Atd6TBxkH9YvN,spotify:track:2u02eLj96Atd6TBxkH9YvN,https://api.spotify.com/v1/tracks/2u02eLj96Atd6TBxkH9YvN,https://api.spotify.com/v1/audio-analysis/2u02eLj96Atd6TBxkH9YvN,243533,4,S&M,['Rihanna']
718,0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179,audio_features,0Osbam159ngkQww6isBBQJ,spotify:track:0Osbam159ngkQww6isBBQJ,https://api.spotify.com/v1/tracks/0Osbam159ngkQww6isBBQJ,https://api.spotify.com/v1/audio-analysis/0Osbam159ngkQww6isBBQJ,252240,4,A Horse with No Name,"['America', 'George Martin']"
719,0.526,0.774,5,-1.692,1,0.0459,0.715,0,0.437,0.715,131.715,audio_features,1KLpjQFgubHI3GkAICCNH3,spotify:track:1KLpjQFgubHI3GkAICCNH3,https://api.spotify.com/v1/tracks/1KLpjQFgubHI3GkAICCNH3,https://api.spotify.com/v1/audio-analysis/1KLpjQFgubHI3GkAICCNH3,150706,4,Dream Lover,['Bobby Darin']
720,0.576,0.807,6,-3.908,0,0.317,0.353,0.000363,0.0512,0.908,90.012,audio_features,41bIQPBE1lFN0mmw6Lmssz,spotify:track:41bIQPBE1lFN0mmw6Lmssz,https://api.spotify.com/v1/tracks/41bIQPBE1lFN0mmw6Lmssz,https://api.spotify.com/v1/audio-analysis/41bIQPBE1lFN0mmw6Lmssz,224427,4,21 Questions,"['50 Cent', 'Nate Dogg']"
721,0.649,0.825,10,-12.243,0,0.0335,0.00606,0.154,0.104,0.961,112.124,audio_features,3Is0Nnz59rzbNZE491URlY,spotify:track:3Is0Nnz59rzbNZE491URlY,https://api.spotify.com/v1/tracks/3Is0Nnz59rzbNZE491URlY,https://api.spotify.com/v1/audio-analysis/3Is0Nnz59rzbNZE491URlY,186907,4,"(Shake, Shake, Shake) Shake Your Booty",['KC & The Sunshine Band']
722,0.595,0.928,4,-4.457,1,0.0503,0.0569,0,0.0336,0.982,149.975,audio_features,5G9KcZaxfCysfv4EryCB9b,spotify:track:5G9KcZaxfCysfv4EryCB9b,https://api.spotify.com/v1/tracks/5G9KcZaxfCysfv4EryCB9b,https://api.spotify.com/v1/audio-analysis/5G9KcZaxfCysfv4EryCB9b,252885,4,Hey Mickey,['Toni Basil']
723,0.941,0.792,1,-8.661,1,0.0349,0.0864,6.96E-05,0.18,0.97,110.795,audio_features,5LBIaqimaMqEDdNwGcOEZJ,spotify:track:5LBIaqimaMqEDdNwGcOEZJ,https://api.spotify.com/v1/tracks/5LBIaqimaMqEDdNwGcOEZJ,https://api.spotify.com/v1/audio-analysis/5LBIaqimaMqEDdNwGcOEZJ,296267,4,"Pop Muzik (From ""Priscilla Queen of the Desert"")","['M', 'Robin Scott']"
724,0.663,0.844,7,-6.211,1,0.0421,0.459,0,0.0701,0.817,148.013,audio_features,7qFg0joTjCiYOvzrt9nNtg,spotify:track:7qFg0joTjCiYOvzrt9nNtg,https://api.spotify.com/v1/tracks/7qFg0joTjCiYOvzrt9nNtg,https://api.spotify.com/v1/audio-analysis/7qFg0joTjCiYOvzrt9nNtg,180507,4,"Bad, Bad Leroy Brown",['Jim Croce']
725,0.476,0.381,5,-10.238,0,0.0342,0.727,0,0.0614,0.33,121.948,audio_features,3gsCAGsWr6pUm1Vy7CPPob,spotify:track:3gsCAGsWr6pUm1Vy7CPPob,https://api.spotify.com/v1/tracks/3gsCAGsWr6pUm1Vy7CPPob,https://api.spotify.com/v1/audio-analysis/3gsCAGsWr6pUm1Vy7CPPob,286920,4,Killing Me Softly With His Song,['Roberta Flack']
726,0.276,0.219,2,-12.22,1,0.0345,0.963,0.000772,0.156,0.21,129.353,audio_features,38fxthNzXy46rtFlFZEmqj,spotify:track:38fxthNzXy46rtFlFZEmqj,https://api.spotify.com/v1/tracks/38fxthNzXy46rtFlFZEmqj,https://api.spotify.com/v1/audio-analysis/38fxthNzXy46rtFlFZEmqj,143787,3,Return To Me (Ritorna-Me),['Dean Martin']
727,0.774,0.684,1,-4.721,0,0.0408,0.0687,9.34E-05,0.0765,0.354,98.001,audio_features,1ak0S3NhwWrUgNlQhJ1412,spotify:track:1ak0S3NhwWrUgNlQhJ1412,https://api.spotify.com/v1/tracks/1ak0S3NhwWrUgNlQhJ1412,https://api.spotify.com/v1/audio-analysis/1ak0S3NhwWrUgNlQhJ1412,236827,4,Case Of The Ex (Whatcha Gonna Do),['Mýa']
728,0.746,0.273,5,-16.63,1,0.0573,0.606,0.0168,0.0526,0.502,101.952,audio_features,7kWhdmRYv8CqbWNqfojqVd,spotify:track:7kWhdmRYv8CqbWNqfojqVd,https://api.spotify.com/v1/tracks/7kWhdmRYv8CqbWNqfojqVd,https://api.spotify.com/v1/audio-analysis/7kWhdmRYv8CqbWNqfojqVd,199400,4,Let's Stay Together,['Al Green']
729,0.699,0.668,1,-5.305,1,0.106,0.265,0,0.141,0.472,83.074,audio_features,3kgutGd839IOYRl6ekeq6V,spotify:track:3kgutGd839IOYRl6ekeq6V,https://api.spotify.com/v1/tracks/3kgutGd839IOYRl6ekeq6V,https://api.spotify.com/v1/audio-analysis/3kgutGd839IOYRl6ekeq6V,254467,4,All I Have (feat. LL Cool J),"['Jennifer Lopez', 'LL Cool J']"
730,0.456,0.793,11,-9.17,0,0.098,0.0486,0.00205,0.376,0.615,158.787,audio_features,0hBZCHzVNvboVLWS7aNKRO,spotify:track:0hBZCHzVNvboVLWS7aNKRO,https://api.spotify.com/v1/tracks/0hBZCHzVNvboVLWS7aNKRO,https://api.spotify.com/v1/audio-analysis/0hBZCHzVNvboVLWS7aNKRO,202107,4,"Paint It, Black",['The Rolling Stones']
731,0.381,0.286,2,-13.107,1,0.0287,0.453,1.48E-06,0.109,0.315,130.767,audio_features,25kYvXbKVoh3oQD3OwozhK,spotify:track:25kYvXbKVoh3oQD3OwozhK,https://api.spotify.com/v1/tracks/25kYvXbKVoh3oQD3OwozhK,https://api.spotify.com/v1/audio-analysis/25kYvXbKVoh3oQD3OwozhK,211267,4,I'll Never Love This Way Again,['Dionne Warwick']
