,names,uri,artists
237,(I Can't Get No) Satisfaction - Mono Version,spotify:track:5FKkbyGm42hw1y08l2knlO,['The Rolling Stones']
238,To Know Him Is To Love Him,spotify:track:3vwqUuBytMCDYn0MTqVMF4,['The Teddy Bears']
239,Let's Hang On,spotify:track:0W1IOQx9EEZM30edmVs0Q4,['Frankie Valli & The Four Seasons']
240,Again,spotify:track:16gvJsVyauI16RqmOrwJJk,['Lenny Kravitz']
241,Disco Inferno,spotify:track:2bvwaRaRVF3inbXIig555h,['50 Cent']
242,I Love You Always Forever,spotify:track:1PEqh7awkpuepLBSq8ZwqD,['Donna Lewis']
243,Can't Take My Eyes Off You,spotify:track:7t382qeT7lyWG3X3R9ThQH,['Frankie Valli']
244,One Sweet Day,spotify:track:7ySbfLwdCwl1EM0zNCJZ38,"['Mariah Carey', 'Boyz II Men']"
245,Smoke Gets In Your Eyes,spotify:track:1jTkRvUHQhh2v77G5KOyYW,['The Platters']
246,Calcutta - Remastered,spotify:track:1iXx0IlX5j33jyumZjBWU4,['Lawrence Welk']
247,Running Bear,spotify:track:60DbxCJXFG9ZryHHvUPTXG,['Johnny Preston']
248,This Love,spotify:track:6YgV0EF8xJMZz0Zm6BTaT4,['Maroon 5']
249,Last Train to Clarksville,spotify:track:3dgyDSKfzaNBtlZuUxc8IW,['The Monkees']
250,Philadelphia Freedom,spotify:track:6OADGew7LIa4msMBoFAPpm,['Elton John']
251,The Boy Is Mine,spotify:track:6sHsXIJoEN5JpdkGMQDJxt,"['Brandy', 'Monica']"
252,Mr. Lonely,spotify:track:5KG2ahk1cONbHvg3dBdTbx,['Bobby Vinton']
253,Knock Three Times,spotify:track:4Z0K8WzmzsPpX0Po6qMfEh,['Dawn']
254,(You're My) Soul And Inspiration,spotify:track:5ZHOiRqKOzgFMfMAu8cwzp,['The Righteous Brothers']
255,I Knew I Loved You,spotify:track:68K0qD0VDqdm0eWXsGqnvM,['Savage Garden']
256,Devil with the Blue Dress On / Good Golly Miss Molly (Medley),spotify:track:4d6FHaOlHLo4sGpMXaexho,['Mitch Ryder and The Detroit Wheels']
257,It's Been Awhile,spotify:track:25CMmGsl22APKhfuj4Tp7j,['Staind']
258,You're Makin' Me High,spotify:track:32VygCu5knUb9ZmC5acyKZ,['Toni Braxton']
259,Stronger,spotify:track:6C7RJEIUDqKkJRZVWdkfkH,['Kanye West']
260,It's All Coming Back to Me Now,spotify:track:62WlC9unRXGdRIULjishS0,['Céline Dion']
261,Creep,spotify:track:1aWV3uY3SIEZVbmv45oFWS,['TLC']
262,I'd Die Without You,spotify:track:7kFAwFdZcvvqOggZ2dY5jg,['P.M. Dawn']
263,Knock You Down,spotify:track:58FUwmyGUqkt53YPUcm7cJ,"['Keri Hilson', 'Kanye West', 'Ne-Yo']"
264,Mashed Potato Time,spotify:track:6jouZcdraQvsbh7SWkLEui,['Dee Dee Sharp']
265,Don't You Want Me,spotify:track:3L7RtEcu1Hw3OXrpnthngx,['The Human League']
266,Drop It Like It's Hot,spotify:track:2NBQmPrOEEjA8VbeWOQGxO,"['Snoop Dogg', 'Pharrell Williams']"
267,Little Bit O' Soul - Remastered,spotify:track:4Cl6BCh0RGp9puOTMkZlMM,['Music Explosion']
